"screenName","point","hashtag","BOTNOT"
"005cari",0.0708925733007609,"#AperturadeSesiones","BOTNOT"
"03nounou",0.0379801364663761,"#AperturadeSesiones","BOTNOT"
"0PaulaFernandez",0.0765131067279284,"#Abortolegal2020","BOTNOT"
"0x1Cerise",0.052029365506959,"#AsambleaLegislativa2020","BOTNOT"
"1070mirez",0.495057564008046,"#AperturadeSesiones","BOTNOT"
"15BaydelaCruz",0.708112626761362,"#TodosConAlberto","BOT"
"1947angelaarte",0.207905573288023,"#TodosConAlberto","BOTNOT"
"19652009Stella",0.0350826433931558,"#TodosConAlberto","BOTNOT"
"1967ROQUE",0.221795687690215,"#TodosConAlberto","BOTNOT"
"1996_mauro",0.0350826433931558,"#AsambleaLegislativa2020","BOTNOT"
"1AgusSanchez",0.0276140429422608,"#Abortolegal2020","BOTNOT"
"1diablorojo",0.0607801135208407,"#Abortolegal2020","BOTNOT"
"2016cato",0.158817464242006,"#AperturadeSesiones","BOTNOT"
"2021Ganamos",0.413569897933165,"#AperturadeSesiones","BOTNOT"
"2030Pensar",0.318418856131781,"#AsambleaLegislativa2020","BOTNOT"
"2204fem",0.515643330531229,"#TodosConAlberto","BOTNOT"
"26Diario",0.267344003063405,"#AlbertoFernandez","BOTNOT"
"3Julyorona",0.0889951559667924,"#Abortolegal2020","BOTNOT"
"3Tamy21",0.0379801364663761,"#Abortolegal2020","BOTNOT"
"3d1cbe98454f439",0.194667737284505,"#AperturadeSesiones","BOTNOT"
"3li_FCB_MeRe",0.119569866519679,"#Abortolegal2020","BOTNOT"
"54Robledo",0.148120708329673,"#AperturadeSesiones","BOTNOT"
"77_melito",0.0607801135208407,"#TodosConAlberto","BOTNOT"
"AFVOK",0.0765131067279284,"#Abortolegal2020","BOTNOT"
"AFranStaFe",0.119569866519679,"#TodosConAlberto","BOTNOT"
"ALETEMP",0.052029365506959,"#AperturadeSesiones","BOTNOT"
"ALaureiro_",0.0607801135208407,"#AperturadeSesiones","BOTNOT"
"ALlanosMassa",0.158817464242006,"#TodosConAlberto","BOTNOT"
"AM550LaPrimera",0.111167191085188,"#AsambleaLegislativa2020","BOTNOT"
"ANEVA73",0.0708925733007609,"#TodosConAlberto","BOTNOT"
"ANGELVI_Argenta",0.052029365506959,"#AsambleaLegislativa2020","BOTNOT"
"ASecas_Bruno",0.433677433532932,"#Abortolegal2020","BOTNOT"
"AStular",0.103285734671236,"#Abortolegal2020","BOTNOT"
"ASzkadun",0.182079031309288,"#AperturadeSesiones","BOTNOT"
"AZUESPERANZA",0.433677433532932,"#AperturadeSesiones","BOTNOT"
"AZULGIORDANI",0.158817464242006,"#AperturadeSesiones","BOTNOT"
"A_Mancuello1",0.052029365506959,"#TodosConAlberto","BOTNOT"
"AbbiPronello",0.0607801135208407,"#Abortolegal2020","BOTNOT"
"Abbyss_1",0.0825396626774012,"#TodosConAlberto","BOTNOT"
"Aberdee50402332",0.336555195487199,"#AperturadeSesiones","BOTNOT"
"AbiNieto_",0.0276140429422608,"#Abortolegal2020","BOTNOT"
